urtea;balioa
1985;132.29
1986;141.41
1987;156.25
1988;177.41
1989;223.84
1990;200.53
1991;330.86
1992;360.19
1993;398.28
1994;404.27
1995;576.23
1996;821.36
1997;990.80
1998;1836.01
1999;3707.83
2000;2341.70
2001;1577.05
2002;984.36
2003;1467.92
2004;1621.12
2005;1645.20
2006;1756.90
2007;2084.93
2008;1211.65
2009;1860.31
2010;2217.86
2011;2277.83
2012;2660.93
2013;3592.00
2014;4236.28
2015;4593.27
2016;4863.62
2017;6396.42
2018;6329.96
2019;8733.07
2020;12888.28
2021;16320.08
2022;10939.76
2023;16825.93
2024;21012.17
