urtea;balioa
1975;120.69
1976;127.76
1977;240.20
1978;290.19
1979;329.29
1980;392.57
1981;381.72
1982;353.10
1983;428.24
1984;423.03
1985;540.12
1986;562.48
1987;382.13
1988;300.79
1989;268.44
1990;169.52
1991;181.71
1992;185.90
1993;242.74
1994;216.25
1995;224.22
1996;274.13
1997;345.60
1998;295.30
1999;425.51
2000;402.49
2001;549.78
2002;561.52
2003;557.86
2004;447.92
2005;475.19
2006;779.57
2007;735.38
2008;1062.12
2009;1483.02
2010;1483.39
2011;1998.83
2012;2818.82
2013;2875.97
2014;2783.24
2015;3752.44
2016;4399.12
2017;6953.19
2018;8280.12
2019;6828.40
2020;7371.43
2021;6025.33
2022;7618.11
2023;9546.61
2024;9503.93
