urtea;balioa
1975;88.64
1976;99.86
1977;121.76
1978;120.91
1979;105.27
1980;111.60
1981;127.42
1982;157.33
1983;139.65
1984;122.34
1985;143.86
1986;164.16
1987;213.42
1988;259.81
1989;274.03
1990;281.94
1991;410.38
1992;421.33
1993;401.22
1994;360.79
1995;391.22
1996;427.13
1997;434.93
1998;461.32
1999;512.51
2000;601.62
2001;742.71
2002;818.07
2003;655.71
2004;770.63
2005;660.47
2006;689.72
2007;585.52
2008;626.69
2009;597.37
2010;658.35
2011;1030.35
2012;1094.97
2013;1309.96
2014;1141.63
2015;1172.22
2016;1370.76
2017;1447.66
2018;1629.38
2019;1768.69
2020;1625.57
2021;1876.82
2022;1779.60
2023;2403.81
2024;2389.92
