urtea;balioa
1975;81.99
1976;77.16
1977;85.59
1978;78.54
1979;65.26
1980;48.35
1981;55.47
1982;54.77
1983;49.60
1984;41.99
1985;24.42
1986;25.40
1987;21.78
1988;22.12
1989;28.53
1990;27.43
1991;27.45
1992;32.86
1993;32.56
1994;34.23
1995;28.10
1996;24.34
1997;17.97
1998;21.67
1999;27.23
2000;25.86
2001;26.18
2002;25.35
2003;38.60
2004;47.23
2005;48.33
2006;56.63
2007;72.98
2008;63.41
2009;73.77
2010;85.63
2011;90.48
2012;107.99
2013;137.07
2014;145.13
2015;143.63
2016;175.20
2017;189.97
2018;214.65
2019;302.16
2020;339.95
2021;355.65
2022;291.45
2023;327.25
2024;367.09
