urtea;indizea
1975;8.54
1976;10.05
1977;12.52
1978;15.00
1979;17.35
1980;20.06
1981;23.00
1982;26.29
1983;29.49
1984;32.80
1985;35.71
1986;38.85
1987;40.88
1988;42.87
1989;45.79
1990;48.87
1991;51.79
1992;54.85
1993;57.36
1994;60.06
1995;62.88
1996;65.11
1997;66.39
1998;67.61
1999;69.17
2000;71.53
2001;74.10
2002;76.26
2003;78.49
2004;80.88
2005;83.60
2006;86.54
2007;89.94
2008;93.62
2009;93.35
2010;94.08
2011;97.08
2012;99.46
2013;100.87
2014;100.72
2015;100.50
2016;100.00
2017;101.96
2018;103.64
2019;104.36
2020;104.03
2021;107.27
2022;116.48
2023;120.60
2024;123.84
